※データは速報値であり、推計値などが含まれます,,,,,,,,,,,,,
※データは過去にさかのぼり修正する場合があります,,,,,,,,,,,,,
※四捨五入の関係で合計が合わないことがあります,,,,,,,,,,,,,
※例えば、0:00の実績値は、0時00分から1時00分までの1時間平均値を示します,,,,,,,,,,,,,
,,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,太陽光抑制量,風力実績,風力抑制量,揚水,連系線
DATE,TIME,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
2023/1/10,18:00,4296,0,3279,1116,,114,0,0,13,0,99,-325
2023/1/10,19:00,4137,0,3257,1008,,113,0,0,5,0,99,-346
2023/1/10,20:00,3994,0,3308,752,,113,0,0,2,0,99,-281
2023/1/10,21:00,3857,0,3334,687,,113,0,0,2,0,2,-282
2023/1/10,22:00,3772,0,3300,541,,114,0,0,3,0,0,-185
2023/1/10,23:00,3780,0,3142,597,,112,0,0,6,0,0,-77
2023/1/11,0:00,3717,0,3182,480,,113,0,0,8,0,0,-67
2023/1/11,1:00,3816,0,3057,524,,113,0,0,9,0,0,113
2023/1/11,2:00,3983,0,3141,666,,114,0,0,9,0,0,54
2023/1/11,3:00,4060,0,3147,771,,114,0,0,12,0,0,16
2023/1/11,4:00,4035,0,3179,776,,114,0,0,13,0,0,-46
2023/1/11,5:00,4028,0,3378,505,,114,0,0,14,0,0,17
2023/1/11,6:00,4141,0,3440,556,,114,0,0,12,0,0,19
2023/1/11,7:00,4195,0,3515,650,,112,32,0,16,0,52,-182
2023/1/11,8:00,4384,0,3564,618,,114,223,0,20,0,99,-253
2023/1/11,9:00,4395,0,3383,497,,113,423,0,15,0,49,-83
2023/1/11,10:00,4202,0,3016,452,,113,576,0,13,0,0,32
2023/1/11,11:00,4035,0,2552,436,,113,704,0,25,0,0,206
2023/1/11,12:00,3752,0,2358,407,,111,725,0,30,0,0,120
2023/1/11,13:00,3832,0,2439,406,,112,651,0,27,0,0,197
2023/1/11,14:00,3814,0,2564,402,,112,489,0,24,0,0,223
2023/1/11,15:00,3803,0,2981,416,,112,266,0,23,0,0,5
2023/1/11,16:00,3902,0,3329,573,,112,61,0,30,0,53,-254
2023/1/11,17:00,4021,0,3411,795,,111,0,0,39,0,100,-434
2023/1/11,18:00,4059,0,3394,862,,111,0,0,42,0,99,-449
2023/1/11,19:00,3982,0,3369,865,,112,0,0,42,0,52,-457
2023/1/11,20:00,3904,0,3368,764,,112,0,0,34,0,0,-374
2023/1/11,21:00,3784,0,3364,649,,111,0,0,44,0,0,-383
2023/1/11,22:00,3711,0,3207,507,,112,0,0,53,0,0,-168
2023/1/11,23:00,3745,0,2972,466,,112,0,0,52,0,0,143
2023/1/12,0:00,3653,0,3075,508,,112,0,0,47,0,0,-89
2023/1/12,1:00,3746,0,3228,578,,112,0,0,50,0,0,-222
2023/1/12,2:00,3935,0,3319,656,,112,0,0,49,0,0,-202
2023/1/12,3:00,4005,0,3316,706,,113,0,0,47,0,0,-176
2023/1/12,4:00,3966,0,3315,692,,113,0,0,44,0,0,-197
2023/1/12,5:00,3919,0,3445,488,,112,0,0,49,0,0,-175
2023/1/12,6:00,4027,0,3546,584,,112,0,0,44,0,2,-262
2023/1/12,7:00,4083,0,3533,551,,111,34,0,43,0,98,-287
2023/1/12,8:00,4278,0,3571,636,,112,211,0,43,0,0,-295
2023/1/12,9:00,4315,0,3500,500,,111,395,0,40,0,0,-232
2023/1/12,10:00,4111,0,3123,434,,108,537,0,40,0,0,-131
2023/1/12,11:00,3979,0,2924,425,,107,616,0,43,0,0,-135
2023/1/12,12:00,3647,0,2708,411,,106,624,0,48,0,0,-249
2023/1/12,13:00,3718,0,2807,399,,107,604,0,45,0,0,-244
2023/1/12,14:00,3680,0,2897,460,,107,470,0,33,0,0,-286
2023/1/12,15:00,3651,0,3089,469,,107,252,0,29,0,0,-296
2023/1/12,16:00,3720,0,3257,704,,107,58,0,24,0,3,-432
2023/1/12,17:00,3837,0,3370,847,,106,0,0,28,0,99,-615
2023/1/12,18:00,3865,0,3402,716,,107,0,0,31,0,99,-491
2023/1/12,19:00,3752,0,3417,699,,107,0,0,36,0,99,-608
2023/1/12,20:00,3664,0,3389,485,,108,0,0,39,0,99,-456
2023/1/12,21:00,3537,0,3271,428,,107,0,0,40,0,2,-312
2023/1/12,22:00,3485,0,3197,423,,108,0,0,35,0,0,-278
2023/1/12,23:00,3473,0,3047,432,,107,0,0,32,0,0,-145
2023/1/13,0:00,3401,0,2974,393,,109,0,0,37,0,0,-112
2023/1/13,1:00,3524,0,2956,429,,107,0,0,40,0,0,-8
2023/1/13,2:00,3723,0,3065,572,,108,0,0,36,0,1,-59
2023/1/13,3:00,3837,0,3161,656,,108,0,0,32,0,50,-170
2023/1/13,4:00,3841,0,3154,634,,108,0,0,32,0,50,-136
2023/1/13,5:00,3799,0,3250,558,,107,0,0,35,0,50,-201
2023/1/13,6:00,3860,0,3341,579,,108,0,0,34,0,50,-251
2023/1/13,7:00,3882,0,3415,601,,107,33,0,39,0,50,-362
2023/1/13,8:00,4047,0,3341,554,,108,216,0,41,0,50,-262
2023/1/13,9:00,4065,0,3180,560,,107,403,0,29,0,3,-217
2023/1/13,10:00,3975,0,3133,670,,107,435,0,20,0,0,-390
2023/1/13,11:00,3916,0,2989,593,,107,451,0,29,0,0,-253
2023/1/13,12:00,3665,0,2986,511,,108,385,0,44,0,0,-368
2023/1/13,13:00,3772,0,3077,507,,107,267,0,45,0,0,-232
2023/1/13,14:00,3783,0,3249,501,,107,116,0,43,0,0,-232
2023/1/13,15:00,3761,0,3488,478,,107,34,0,43,0,0,-389
2023/1/13,16:00,3798,0,3509,536,,107,3,0,55,0,1,-414
2023/1/13,17:00,3767,0,3405,813,,107,0,0,61,0,50,-670
2023/1/13,18:00,3714,0,3381,845,,108,0,0,66,0,50,-736
2023/1/13,19:00,3569,0,3376,665,,107,0,0,65,0,50,-694
2023/1/13,20:00,3424,0,3288,470,,108,0,0,72,0,1,-515
2023/1/13,21:00,3294,0,3180,450,,107,0,0,77,0,0,-520
2023/1/13,22:00,3239,0,2896,492,,107,0,0,78,0,0,-334
2023/1/13,23:00,3152,0,2678,510,,107,0,0,85,0,0,-228
2023/1/14,0:00,3035,0,2493,521,,107,0,0,79,0,0,-165
2023/1/14,1:00,3077,0,2501,534,,108,0,0,106,0,0,-172
